Model,Accuracy,Precision,Recall,Specificity,F1 Score,ROC-AUC,Threshold
Quantum Neural Network (VQC),0.73,0.34782608695652173,0.4,0.8125,0.37209302325581395,0.5890624999999999,0.45068535664385867
Hybrid Quantum-Classical Classifier,0.2,0.2,1.0,0.0,0.3333333333333333,0.47500000000000003,0.12194415274807488
Quantum Kernel Classifier (QSVM),0.2,0.2,1.0,0.0,0.3333333333333333,0.4753125,0.1245433933252539
Logistic Regression,0.877,0.11910112359550562,0.3464052287581699,0.898102417468157,0.17725752508361203,0.7461989734807362,0.6964589743332459
Balanced Gradient Boosting,0.85025,0.11013986013986014,0.4117647058823529,0.8676891083961529,0.17379310344827587,0.7181472363661692,0.5960073691824106
Isolation Forest,0.8655,0.10953346855983773,0.35294117647058826,0.8858851052768391,0.16718266253869968,0.7344030065019682,0.6285631491462402
Naive Bayes,0.79275,0.09665871121718377,0.5294117647058824,0.8032232908760073,0.16347124117053483,0.7542673945065419,0.1202179142137149
LightGBM,0.887,0.10761154855643044,0.2679738562091503,0.9116194437223811,0.15355805243445692,0.6893173697864902,0.5881559788800532
Decision Tree,0.89375,0.1023391812865497,0.22875816993464052,0.9201975565375617,0.1414141414141414,0.5921437806558374,0.7708489857250181
